Geo Point;Geo Shape;id_ref_ZdA;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
-5.981996497397911, -1.36062054009288;"{""coordinates"": [-1.36062054009288, -5.981996497397911], ""type"": ""Point""}";45232;67;BERCY;Bercy;METRO;;A01539;METRO 6;METRO 6-106041;6;410.83942538;275.91620155
-5.982121238448399, -1.3607661249392784;"{""coordinates"": [-1.360766124939278, -5.982121238448399], ""type"": ""Point""}";44371;652;PLACE D'ITALIE;Place d'Italie;METRO;METRO 5;A01538;METRO 5;METRO 5-105081;5;386.40243702;257.23740388
-5.98171342636, -1.360461178690124;"{""coordinates"": [-1.360461178690124, -5.98171342636], ""type"": ""Point""}";44520;693;PORTE DE MONTREUIL;Pte de Montreuil;METRO;;A01542;METRO 9;METRO 9-109087;9;438.8850708;319.81829834
-5.981934633151093, -1.3605653375406366;"{""coordinates"": [-1.360565337540637, -5.981934633151093], ""type"": ""Point""}";45229;234;DAUMESNIL;Daumesnil;METRO;;A01541;METRO 8;METRO 8-106037;8;420.23427448;285.33036275
-5.981958329501381, -1.3615400922761314;"{""coordinates"": [-1.361540092276131, -5.981958329501381], ""type"": ""Point""}";43567;423;LA MUETTE;La Muette;METRO;;A01542;METRO 9;METRO 9-109039;9;263.80028414;290.17391388
-5.981402472928108, -1.3614690437309436;"{""coordinates"": [-1.361469043730944, -5.981402472928108], ""type"": ""Point""}";45508;923;WAGRAM;Wagram;METRO;;A01536;METRO 3;METRO 3-103071;3;280.1071167;378.5256958
-5.98142398801103, -1.3614450427261637;"{""coordinates"": [-1.361445042726164, -5.98142398801103], ""type"": ""Point""}";59370;506;MALESHERBES;Malesherbes;METRO;;A01536;METRO 3;METRO 3-103069;3;283.76330566;374.86889648
-5.98170157618297, -1.3613416662117006;"{""coordinates"": [-1.361341666211701, -5.98170157618297], ""type"": ""Point""}";43026;293;FRANKLIN D. ROOSEVELT;Franklin D. Roosevelt;METRO;;A01534;METRO 1;METRO 1-109049;1;297.87452668;329.5166955
-5.9817178128276, -1.3612067619176862;"{""coordinates"": [-1.361206761917686, -5.9817178128276], ""type"": ""Point""}";45676;199;CONCORDE;Concorde;METRO;;A01534;METRO 1;METRO 1-101061;1;319.35185101;325.7222238
-5.982034884901346, -1.3612751909708218;"{""coordinates"": [-1.361275190970822, -5.982034884901346], ""type"": ""Point""}";43566;421;LA MOTTE PICQUET-GRENELLE;La Motte Picquet-Grenelle;METRO;;A01539;METRO 6;METRO 6-106071;6;305.5784726;275.57161558
-5.981400626271838, -1.3608241779157653;"{""coordinates"": [-1.360824177915765, -5.981400626271838], ""type"": ""Point""}";42583;161;CHÂTEAU LANDON;Château Landon;METRO;;A01540;METRO 7;METRO 7-107043;7;383.47562339;373.10732567
